time;eth_supply
30/07/2015;72049098,62
31/07/2015;72085210,5
01/08/2015;72112860,5
02/08/2015;72141026,12
03/08/2015;72168933,62
04/08/2015;72197340,5
05/08/2015;72224811,12
06/08/2015;72251822,37
07/08/2015;72279196,12
08/08/2015;72307068
09/08/2015;72334180,5
10/08/2015;72361933
11/08/2015;72389892,37
12/08/2015;72417189,25
13/08/2015;72445378,62
14/08/2015;72476398,62
15/08/2015;72504842,37
16/08/2015;72531876,75
17/08/2015;72559936,75
18/08/2015;72586038,62
19/08/2015;72613264,25
20/08/2015;72634281,12
21/08/2015;72660919,25
22/08/2015;72688419,25
23/08/2015;72714624,87
24/08/2015;72741899,25
25/08/2015;72768583
26/08/2015;72794673,62
27/08/2015;72819164,87
28/08/2015;72843349,87
29/08/2015;72865838,62
30/08/2015;72887264,25
31/08/2015;72908529,25
01/09/2015;72928841,75
02/09/2015;72947211,75
03/09/2015;72964573
04/09/2015;72987618,62
05/09/2015;73013204,87
06/09/2015;73039319,25
07/09/2015;73064726,12
08/09/2015;73090560,5
09/09/2015;73116938
10/09/2015;73143322,37
11/09/2015;73170496,75
12/09/2015;73196846,12
13/09/2015;73222962,37
14/09/2015;73248494,25
15/09/2015;73274050,5
16/09/2015;73300304,25
17/09/2015;73325681,75
18/09/2015;73351513
19/09/2015;73378623,62
20/09/2015;73406545,5
21/09/2015;73433144,25
22/09/2015;73459468
23/09/2015;73486496,12
24/09/2015;73512828,62
25/09/2015;73539774,87
26/09/2015;73565632,37
27/09/2015;73590595,5
28/09/2015;73615266,75
29/09/2015;73639582,37
30/09/2015;73664624,25
01/10/2015;73691988
02/10/2015;73718850,5
03/10/2015;73745258,62
04/10/2015;73770694,87
05/10/2015;73796786,12
06/10/2015;73821781,12
07/10/2015;73847868,62
08/10/2015;73874604,87
09/10/2015;73900018
10/10/2015;73925475,5
11/10/2015;73951935,5
12/10/2015;73978694,87
13/10/2015;74005316,12
14/10/2015;74031141,75
15/10/2015;74056711,12
16/10/2015;74082109,87
17/10/2015;74108511,75
18/10/2015;74134313,62
19/10/2015;74160234,87
20/10/2015;74186375,5
21/10/2015;74212376,75
22/10/2015;74237659,87
23/10/2015;74265163
24/10/2015;74292229,25
25/10/2015;74318988,62
26/10/2015;74344843,62
27/10/2015;74372314,25
28/10/2015;74398596,75
29/10/2015;74426036,75
30/10/2015;74453693
